1,40.75,47.61,0,0,92
2,42.1,46.4,1.4,0,76
3,39.67,45.61,0,0,22
4,39.97,46.54,0,0,100
5,42.31,48.27,0,0,100
6,33.73,50.63,0,0,86
7,33.8,48.24,5.63,1.31,100
8,34.38,38.41,0.33,5.34,100
9,33.87,52.88,0,0,50
10,33.75,52.11,0,0,18
11,42.03,45.88,32.65,0,100
12,39.16,46.71,23.51,1.83,100
13,38.88,41.43,7.1,0.79,100
14,37.69,44.35,1.1,0.17,100
15,39.09,42.82,16.14,0,99
16,40.08,61.84,4.72,0,92
17,39.2,62.13,0,0,6
18,45.86,73.02,0.19,0,19
19,50.79,71.06,0.32,0,11
20,47.37,68.83,3.45,0,55
21,49.01,71.62,0.15,0,37
22,50.67,73.42,0,0,4
23,54.19,78.4,0.36,0,0
24,53.19,70.23,2.5,0,77
25,46.18,59.65,6.64,0,52
26,47.03,56.21,0.23,0,100
27,43.43,68.13,0,0,13
28,47.8,79.48,0.14,0,18
29,52.29,71.91,0.97,0,32
30,52.39,74.8,0.61,0,47
31,52.79,67.66,13.94,0,95
32,51.49,69.01,1.04,0,71
33,44.96,55.06,0.67,0,100
34,41.2,58.39,0,0,49
35,47.07,56.41,0,0,100
36,58.95,68.58,17.82,0,96
37,51.93,67.78,3.38,0,91
38,46.24,54.79,0.1,0,57
39,43.18,61.97,0,0,8
40,45.82,57.47,0,0,72
41,60.39,73.71,8.05,0,100
42,56.41,71.22,0.22,0,92
43,50,63.19,0.71,0,100
44,45.32,52.63,8.4,0,100
45,44.73,47.77,4.35,0,100
46,51.71,70.72,9.1,0,100
47,51.22,64.83,0,0,91
48,48.07,61.99,21.9,0,100
49,40.01,51.21,5.66,0,80
50,43.38,50.97,3.11,0,100
51,52.65,64.09,18.81,0,100
52,48.52,68.86,2.62,0,71
53,41.79,50.38,0,0,100
54,39.58,62.2,0,0,0
55,44.19,61.86,0,0,35
56,53.83,67.37,1.77,0,99
57,44.98,56.08,11.82,0,100
58,39.6,60.55,0,0,7
59,43.41,65.32,0,0,0
60,47.55,67.51,0,0,0
61,50.4,73.36,0.56,0,27
62,47.68,68.43,0,0,66
63,45.12,73.94,0,0,17
64,52.54,76.28,0,0,3
65,53.94,58.28,11.95,0,100
66,44.08,63,2.45,0,94
67,41.74,62.26,0.17,0,23
68,43.72,74.79,0,0,46
69,48.6,75.63,0,0,4
70,50.11,59.13,4.2,0,100
71,56.21,70.52,2.15,0,57
72,50.79,66.78,0.22,0,60
73,44.67,66.25,0,0,13
74,46,68.95,0,0,1
75,47.97,70.02,0,0,14
76,54.61,70.99,0.17,0,7
77,53.2,69.19,0,0,69
78,48.02,71.44,0,0,2
79,53.19,71.02,0,0,27
80,52.54,65.44,0,0,80
81,61.99,76.03,24.12,0,76
82,57.99,81.59,8.89,0,58
83,54.88,65.14,34.1,0,100
84,45.01,54.34,1.83,0,100
85,43.07,50.18,1,0,100
86,63.32,75.49,3.73,0,100
87,58.62,74.66,11.84,0,68
88,51.13,64,6.75,0,100
89,42.98,49.59,3.13,0,100
90,43.86,49.87,2.48,0,99
91,62.33,78.78,3.14,0,88
